PuzzleId,Arm,BeforeBestMove,BeforeScoreCentipawns,BeforeMateIn,AfterPlayedBestMove,AfterPlayedScoreCentipawns,AfterPlayedMateIn,AfterRefutationBestMove,AfterRefutationScoreCentipawns,AfterRefutationMateIn
4sKDk,blunder,e1f2,0,,b7f3,748,,f6e8,-817,
HRYM8,blunder,c6e5,0,,e3f4,448,,g4f5,-445,
ixpV4,blunder,e7e3,388,,f5f6,312,,e7f7,-316,
Q7klN,blunder,f3e2,436,,g1g5,731,,d2c3,-713,
EeJQq,blunder,a2d2,0,,d5e3,588,,c1e3,-590,
urZfI,blunder,f1c4,225,,f8d8,338,,e3c5,-345,
qUbfk,blunder,b4d5,237,,g5d2,313,,b4a2,-302,
itcNM,blunder,b6d4,0,,f5f6,502,,g4f4,-561,
7t7er,blunder,c5c4,331,,a2e6,518,,g8h8,-501,
c1bg8,blunder,a1a5,-66,,b5d7,637,,d8d7,-643,
G9zzD,blunder,b8a8,32,,d7f6,451,,g7f6,-508,
zJ4Xc,blunder,d4f4,-63,,c3g7,535,,h5g7,-537,
1m8v8,blunder,f5d3,508,,b7g7,478,,h7h8,-459,
lXb4P,blunder,e8d8,145,,d4e6,716,,f7e6,-651,
tiGA6,blunder,a1d1,218,,e7g6,258,,f6h7,-268,
yL4Ee,blunder,e4e3,912,,b5b6,384,,a7b6,-369,
REkPp,blunder,h5g6,0,,g6h5,416,,g1f2,-413,
Hjybs,blunder,d6b4,553,,e6f5,521,,c1c2,-520,
cSrI3,blunder,f2f3,225,,d7f5,207,,e4f5,-204,
GHKW3,blunder,d3e3,186,,f6g4,432,,b1c3,-469,
DkWoC,blunder,c4d3,237,,d4f3,392,,g2f3,-397,
Bve5u,blunder,e5f6,289,,h6g5,362,,g1f1,-375,
UiGBO,blunder,h2h3,89,,f4g4,439,,g2h1,-473,
QaBan,blunder,c4d4,219,,d4b5,268,,c7c5,-275,
AWANh,blunder,h7h5,0,,e3f2,491,,a8c7,-485,
KbBgb,blunder,f6e4,713,,g7h7,861,,h8h7,-917,
WPUh0,blunder,b6b5,107,,c2d3,276,,c4d3,-287,
Ho6kI,blunder,g4g5,957,,d6f4,319,,d5d6,-385,
N9AQe,blunder,g2h3,401,,f4f7,400,,g2g7,-407,
9AKhQ,blunder,h7h5,398,,c2f2,296,,d7f5,-307,
Ih8vK,blunder,d7c6,-83,,d3d7,477,,c5d5,-485,
fPuPa,blunder,h2h4,7,,d6f4,420,,f7d8,-419,
D1QwX,blunder,d7e7,466,,e7b7,291,,e6d8,-267,
CN4SM,blunder,e1e5,56,,a6c8,371,,e1e8,-384,
PVLMG,blunder,d4e2,408,,g2e4,340,,d4e2,-310,
g3RQI,blunder,b5d5,315,,c4b4,150,,e6d5,-70,
Pop5l,blunder,d3d2,749,,g5d8,716,,f3f8,-717,
btNu3,blunder,d1e1,54,,e8e5,411,,c4c5,-414,
PudbJ,blunder,e2e3,0,,e5d4,541,,f5f4,-542,
gbh6x,blunder,d7d4,229,,d4d7,654,,g2f4,-713,
HNwKQ,blunder,c5e6,524,,e7d8,202,,c5e6,-231,
3D5qh,blunder,e3g5,285,,g6g4,385,,f8f2,-403,
yndYH,blunder,a4a5,448,,e4f3,212,,a4a5,208,
nQrj7,blunder,c4c8,510,,d5e4,479,,f5f6,-447,
vjKgz,blunder,a1b1,323,,e5a1,264,,f7g6,-251,
Wf71P,blunder,h7h8,349,,f6e8,475,,g7f8,-503,
4Kz11,blunder,a1a8,463,,f8f6,257,,a1a8,-254,
I7N9M,blunder,d4d2,0,,d2d4,491,,g5c1,-490,
nBP6h,blunder,a3a2,259,,c5c6,884,,e7f6,-851,
xafwP,blunder,g3g5,748,,d6d1,586,,f1e2,-668,
ZoVkC,blunder,e1e2,-12,,g7g8,600,,e1e8,-617,
2GLK3,blunder,g2f3,0,,d6h2,450,,g2h2,-477,
Peezt,blunder,f3g1,45,,g6g2,561,,h2g2,-649,
Swtbk,blunder,h5h6,8,,c1e3,465,,d4e3,-462,
b1XhU,blunder,d7e8,54,,d3d8,640,,c8d8,-618,
zfDqT,blunder,e5f6,453,,f4e5,567,,d2c2,-564,
eh43N,blunder,f7f6,168,,c4a5,486,,b6a5,-489,
Wu7FE,blunder,f3f4,17,,g5h3,472,,g2h3,-520,
whCaO,blunder,g3g4,142,,f2f3,379,,g2f3,-443,
4T0k6,blunder,f8e7,-27,,f7d7,489,,e5d7,-495,
xwfGc,blunder,d1e1,9,,h8h3,433,,g3h3,-389,
wN3OR,blunder,f7f5,207,,b4b5,505,,a6b5,-461,
H9bhP,blunder,e2d2,425,,h1h2,473,,e2e3,-469,
cjOIr,blunder,e2e1,129,,g4e5,625,,d5e5,-623,
Y8thD,blunder,g1h1,0,,f8f2,437,,f1f2,-426,
ef8gv,blunder,a2a3,432,,b7b2,377,,d3b2,-366,
guLNp,blunder,c6e5,137,,d3h7,399,,g8h7,-423,
5aBg7,blunder,e7c7,548,,c3c2,547,,d1e2,-556,
Rzsa2,blunder,a5b5,421,,d1d2,234,,d5e7,-208,
6kJRz,blunder,d5e4,588,,e8d8,640,,c6c7,-631,
gqtj3,blunder,d8d7,0,,d6c7,558,,d8d1,-538,
XAIQl,blunder,b3d3,4,,b4a3,636,,e5e6,-657,
EmkNx,blunder,f8c5,29,,c5c6,371,,b8b6,-409,
3x3ko,blunder,h7h5,0,,b4b5,629,,c6b5,-654,
3GTJR,blunder,e1e2,237,,h4h3,466,,g2g1,-470,
bXjus,blunder,f2g3,0,,b4b3,487,,f2g2,-496,
2KJ9W,blunder,c4f7,0,,e5e2,682,,f3e2,-686,
TqVLd,blunder,a6c5,265,,g4g3,453,,h2g3,-545,
FrS1u,blunder,h2g1,0,,d4d1,418,,c4d6,-404,
JRHBf,blunder,b2b3,550,,b4b3,268,,a5a6,-286,
NNQ5n,blunder,f4f5,-19,,a4a3,699,,f4f5,-703,
2oj9Z,blunder,d6c8,0,,a7b8,387,,c6b6,-381,
4F096,blunder,e1d1,0,,f4f3,531,,e2d1,-545,
WtvUI,blunder,g7f6,0,,e3d3,445,,g7f6,-437,
LSLiL,blunder,b4b5,3,,h5h6,408,,a4a3,-406,
VeBYK,blunder,c5d7,141,,g3g2,379,,a8f8,-424,
xqOnt,blunder,b8b4,471,,g7g8q,581,,b8g8,-569,
cjwQu,blunder,f7f6,103,,f1f7,546,,d7f7,-535,
jokS6,blunder,f7f6,2,,b3b4,503,,e4d4,-471,
5sNqK,blunder,a7a1,0,,e8d7,513,,f4e3,-505,
Dz7GB,blunder,b8h8,0,,g4g5,529,,b8h8,-524,
RjXv7,blunder,f1e1,0,,g4f3,248,,g6f6,-368,
4ZUEy,blunder,g8f7,0,,a5a8,405,,g6g5,-487,
YS7er,blunder,d4d3,0,,c6c5,573,,e5f5,-504,
8HvG6,blunder,d1f3,393,,e1f2,478,,f1f2,-476,
IodcF,blunder,g1h2,72,,f5f4,575,,g1g2,-566,
Vtink,blunder,c7d8,539,,g3g4,506,,c5c4,-538,
fPaxY,blunder,b6b7,10000,6,b3d1,441,,g1h2,-460,
Lw37f,blunder,b8d7,292,,b2b4,348,,a5d5,-338,
em6YB,blunder,g3d3,10000,4,b1a2,10000,11,h1a1,-757,
JszR5,blunder,f6g5,528,,f4f5,553,,g6f5,-565,
cbCXd,blunder,f2f4,0,,e6f5,527,,f3e3,-532,
kXHyV,blunder,b6b5,10,,c3c4,1337,,g7f7,-952,
yhcWi,blunder,d1b1,0,,e3b3,437,,d4d3,-454,
SpIU1,blunder,f6g6,4,,b5c4,546,,f6g6,-541,
NbWHy,blunder,a7c8,461,,b5b6,642,,a7c8,-663,
hRrkU,blunder,d5d4,-48,,f5g4,408,,b5b6,-443,
iMsaR,blunder,f5f4,261,,h3h8,529,,g7f7,-501,
lNqzy,blunder,f3g3,31,,h5f5,431,,e4f5,-449,
2Cnir,blunder,g8f7,-8,,c6c8,378,,a8c8,-447,
Jpv1l,blunder,g2h2,0,,d4f2,531,,g2f2,-501,
g8ZiM,blunder,g4f4,22,,f2f5,581,,h7g7,-560,
zqOd6,blunder,e3g4,376,,g5h4,455,,f2g2,-512,
RFiPT,blunder,g3h5,379,,e6f5,516,,e1e7,-513,
lD0lt,blunder,a3b4,-3,,f6e5,426,,e1e5,-415,
pJzBI,blunder,d8c8,187,,f7f6,307,,b6b5,-329,
BcdvB,blunder,d3e4,438,,f2f4,208,,d6f4,-208,
XADNm,blunder,b3a3,1,,a4b3,397,,f4h5,-399,
akAk4,blunder,b3d2,9,,e6d5,363,,d4e3,-363,
51bF6,blunder,h3h4,0,,e6e5,540,,h3h4,-542,
jU61o,blunder,d8d6,0,,c1c6,438,,c8c6,-464,
IEO9U,blunder,h7g6,118,,g3f4,327,,g5f4,-324,
kNXTv,blunder,c3e1,22,,d8d4,393,,d1d4,-406,
0PdqJ,blunder,d5d6,189,,e7g6,486,,e5e8,-491,
0F0X2,blunder,e5f6,79,,f6e4,452,,e1e4,-435,
oNdUC,blunder,c8d8,11,,f5e7,534,,c8d8,-574,
BaYNY,blunder,a6a8,-18,,f4g5,407,,a5a8,-429,
qenum,best,d3h7,10000,2,f6h7,-10000,-1,,,
cxmCL,best,b7g2,10000,1,,-10000,0,,,
FJ5da,best,e4h7,10000,4,f8h7,-10000,-3,,,
NjfvP,best,e7g7,10000,3,e6g7,-10000,-2,,,
dm9OL,best,e2e8,10000,1,,-10000,0,,,
RqeYp,best,e1e7,250,,f7f6,-288,,,,
Wp2im,best,f3f6,476,,e7f6,-485,,,,
qdUab,best,a4c6,445,,b7a7,-474,,,,
XC2KP,best,a6b7,494,,g7h6,-551,,,,
1BnWr,best,b6c6,494,,g2h2,-536,,,,
EpVKU,best,f3h1,430,,g5g1,-343,,,,
sVY2C,best,g4h3,482,,f2f3,-478,,,,
GYMn8,best,g7f7,643,,c7f7,-590,,,,
GzEJi,best,f8b4,510,,e1g1,-521,,,,
CFcb1,best,f5d7,624,,d4g7,-622,,,,
lehUL,best,d4g1,837,,g3f3,-748,,,,
jdV3g,best,a7a8,637,,g8f7,-627,,,,
sREhE,best,d8g5,216,,h4g5,-217,,,,
Bji8z,best,d6c5,10000,17,a5a6,-10000,-15,,,
3hzja,best,d6c7,468,,g6f5,-464,,,,
IWxIF,best,e5e6,563,,c8e6,-558,,,,
mjyfg,best,f7e5,434,,g7f6,-429,,,,
lBMOc,best,a5b4,266,,d7b5,-267,,,,
AtMSY,best,e4d5,282,,e5e2,-294,,,,
1DJLJ,best,f3g5,226,,f7e8,-234,,,,
3UcHB,best,g8g1,425,,d2d1,-442,,,,
Q8f2V,best,d3d8,363,,g8h7,-360,,,,
QvEM7,best,f7g6,335,,d4c5,-350,,,,
20CHb,best,e8f7,312,,d1e2,-313,,,,
DZa39,best,c3d2,370,,f6f3,-344,,,,
s9BDl,best,c6d6,629,,e7d6,-634,,,,
SFFgk,best,c2c7,534,,b6a6,-523,,,,
buZAf,best,g4g3,10000,18,f2g3,-994,,,,
iUEPl,best,e5g6,453,,d6g3,-454,,,,
OJYFs,best,e2e7,685,,g7g5,-662,,,,
wOMqd,best,d6d7,298,,e8e1,-317,,,,
talLq,best,b6b7,550,,f7g6,-556,,,,
ASlgA,best,h7h8q,829,,h1h8,-773,,,,
gskMj,best,d4c4,482,,e5c4,-466,,,,
GPlwO,best,g8b8,577,,c5c4,-584,,,,
96aW0,best,h4h5,821,,b4a3,-820,,,,
o4I5B,best,f5b5,708,,c6b5,-550,,,,
3C1wo,best,g3b8,638,,e7e8,-781,,,,
mR4Nh,best,e2d1,414,,h1h5,-432,,,,
lflPp,best,a5a6,496,,b7b6,-474,,,,
egngu,best,g5f5,461,,f7g6,-450,,,,
LB1Bm,best,e3b3,10000,16,c7b6,-806,,,,
apLdl,best,d1g4,399,,f6g5,-564,,,,
buvPQ,best,e3f4,470,,e5f4,-465,,,,
cNPtu,best,e3e8,469,,h8e8,-465,,,,
